Date,Time,Time Saved (h),Power (kW),Carbon (g)
2025-05-29,09:23:26,0.0066,0.0051,0.0041
2025-05-29,09:25:33,0.0038,0.0051,0.0024
2025-05-29,09:30:07,0.0641,0.0051,0.0406
2025-05-29,09:43:40,0.0,0.005,0.0
2025-05-29,09:45:59,0.0135,0.0049,0.0082
2025-05-29,09:48:13,0.0287,0.0046,0.0164
2025-05-29,09:54:44,0.0969,0.0046,0.0553
2025-05-29,09:56:39,0.0,0.0045,0.0
2025-05-29,09:58:58,0.0302,0.005,0.0187
2025-05-29,10:02:42,0.0506,0.005,0.0313
2025-05-29,10:08:57,0.0955,0.0044,0.0521
2025-05-29,10:23:11,0.0,0.005,0.0
2025-05-29,10:24:20,0.0022,0.0052,0.0014
2025-05-29,10:25:08,0.0011,0.005,0.0007
2025-05-29,10:26:05,0.0074,0.005,0.0046
2025-05-29,10:28:57,0.004,0.0049,0.0025
2025-05-29,10:47:36,0.2961,0.0049,0.1799
2025-05-29,10:53:04,0.0825,0.0045,0.046
2025-05-29,10:58:52,0.0849,0.005,0.0526
2025-05-29,11:01:02,0.0276,0.0045,0.0154
2025-05-29,11:15:29,0.0393,0.005,0.0243
2025-05-29,11:19:13,0.0261,0.0046,0.0149
2025-05-29,11:22:11,0.0412,0.005,0.0256
2025-05-29,11:26:54,0.0667,0.0046,0.0381
2025-05-29,11:31:10,0.0561,0.0045,0.0313
2025-05-29,11:34:40,0.0499,0.0051,0.0316
2025-05-29,11:42:18,0.1154,0.0046,0.0658
2025-05-29,11:54:14,0.1905,0.005,0.1181
2025-05-29,11:58:45,0.0505,0.005,0.0313
2025-05-29,14:03:56,0.0313,0.0052,0.0202
2025-05-29,14:08:57,0.0684,0.0046,0.039
2025-05-29,14:12:59,0.0556,0.0049,0.0338
2025-05-29,15:55:36,0.0,0.005,0.0
2025-05-29,15:56:32,0.0075,0.0048,0.0045
2025-05-29,16:08:29,0.0,0.0049,0.0
2025-05-29,16:16:10,0.1195,0.0044,0.0652
2025-05-29,16:22:49,0.0992,0.005,0.0615
2025-05-29,16:35:58,0.2075,0.0049,0.1261
